HmN_000000100	EmuJ_001147800
HmN_000302800	EmuJ_000112300
HmN_000302900	EmuJ_000112200
HmN_000303000	EmuJ_000125700
HmN_000303300	EmuJ_000125800
HmN_000303400	EmuJ_000125900
HmN_000303500	EmuJ_000125600
HmN_000303700	EmuJ_001091700
HmN_000303800	EmuJ_001091600
HmN_000303900	EmuJ_001091500
HmN_000304000	EmuJ_001091400
HmN_000304200	EmuJ_001091300
HmN_000304300	EmuJ_001091200
HmN_000304400	EmuJ_001090900
HmN_000304500	EmuJ_001090800
HmN_000304700	EmuJ_001090300
HmN_000304800	EmuJ_001090200
HmN_000304900	EmuJ_001090250
HmN_000305000	EmuJ_000194800
HmN_000305100	EmuJ_000194900
HmN_000305600	EmuJ_000195200
HmN_000305700	EmuJ_000195300
HmN_000305800	EmuJ_000195400
HmN_000305900	EmuJ_000195500
HmN_000306200	EmuJ_000195550
HmN_000306300	EmuJ_000195600
HmN_000306400	EmuJ_000195700
HmN_000306700	EmuJ_000196000
HmN_000306800	EmuJ_000196100
HmN_000306900	EmuJ_000196200
HmN_000307000	EmuJ_000130800
HmN_000307100	EmuJ_000130600
HmN_000307200	EmuJ_000130400
HmN_000307300	EmuJ_000130300
HmN_000307400	EmuJ_000130200
HmN_000307500	EmuJ_001089600
HmN_000307800	EmuJ_000194700
HmN_000308000	EmuJ_000194500
HmN_000308100	EmuJ_000194300
HmN_000308200	EmuJ_000194200
HmN_000308300	EmuJ_000194000
HmN_000308400	EmuJ_000194000
HmN_000308600	EmuJ_000193900
HmN_000308800	EmuJ_000193800
HmN_000308900	EmuJ_000193700
HmN_000309000	EmuJ_000193600
HmN_000309200	EmuJ_000192900
HmN_000309300	EmuJ_000193000
HmN_000309400	EmuJ_000193100
HmN_000309500	EmuJ_000193200
HmN_000309600	EmuJ_000193300
HmN_000309900	EmuJ_000193400
HmN_000310000	EmuJ_000193500
HmN_000310200	EmuJ_000192800
HmN_000310300	EmuJ_000192800
HmN_000310400	EmuJ_000192200
HmN_000310500	EmuJ_000192300
HmN_000310600	EmuJ_000192500
HmN_000311100	EmuJ_000446400
HmN_000311200	EmuJ_000446300
HmN_000311300	EmuJ_000446200
HmN_000311500	EmuJ_000446000
HmN_000311600	EmuJ_000445900
HmN_000311700	EmuJ_000445850
HmN_000311900	EmuJ_000445700
HmN_000312100	EmuJ_000445400
HmN_000312200	EmuJ_000445200
HmN_000312400	EmuJ_000445000
HmN_000312500	EmuJ_000444900
HmN_000312700	EmuJ_000444700
HmN_000313600	EmuJ_000317100
HmN_000314100	EmuJ_000317300
HmN_000314300	EmuJ_000317700
HmN_000314400	EmuJ_000317800
HmN_000314500	EmuJ_000317900
HmN_000314600	EmuJ_000318200
HmN_000315200	EmuJ_000316200
HmN_000315300	EmuJ_000316300
HmN_000315600	EmuJ_000316600
HmN_000315800	EmuJ_000316900
HmN_000316100	EmuJ_000294100
HmN_000316500	EmuJ_000294200
HmN_000316700	EmuJ_000294500
HmN_000316900	EmuJ_000261400
HmN_000317000	EmuJ_000261600
HmN_000317200	EmuJ_000262050
HmN_000317300	EmuJ_000262050
HmN_000317400	EmuJ_000262100
HmN_000317500	EmuJ_000262300
HmN_000317600	EmuJ_000262400
HmN_000317700	EmuJ_000262500
HmN_000317800	EmuJ_000262700
HmN_000318000	EmuJ_000262800
HmN_000318600	EmuJ_000668200
HmN_000318700	EmuJ_000667600
HmN_000318900	EmuJ_000666850
HmN_000319200	EmuJ_000667200
HmN_000319300	EmuJ_000667100
HmN_000319600	EmuJ_000636200
HmN_000319700	EmuJ_000636500
HmN_000319800	EmuJ_000636900
HmN_000319900	EmuJ_000636800
HmN_000320000	EmuJ_000992400
HmN_000320200	EmuJ_000992300
HmN_000320300	EmuJ_000992200
HmN_000320400	EmuJ_000992100
HmN_000320500	EmuJ_000992000
HmN_000320700	EmuJ_000991900
HmN_000320800	EmuJ_000991800
HmN_000320900	EmuJ_000991700
HmN_000321000	EmuJ_000991600
HmN_000321100	EmuJ_000991500
HmN_000321200	EmuJ_000990800
HmN_000321300	EmuJ_000990900
HmN_000321400	EmuJ_000991000
HmN_000321500	EmuJ_000991100
HmN_000321600	EmuJ_000991200
HmN_000321700	EmuJ_000991300
HmN_000321800	EmuJ_000991400
HmN_000321900	EmuJ_000990600
HmN_000322000	EmuJ_000990500
HmN_000322300	EmuJ_000990200
HmN_000322300	EmuJ_000990300
HmN_000322400	EmuJ_000990100
HmN_000322500	EmuJ_000990000
HmN_000322600	EmuJ_000989900
HmN_000322700	EmuJ_000989800
HmN_000322900	EmuJ_000989700
HmN_000323000	EmuJ_000989500
HmN_000323100	EmuJ_000989400
HmN_000323200	EmuJ_000989300
HmN_000323300	EmuJ_000989200
HmN_000323400	EmuJ_000989000
HmN_000323500	EmuJ_000988700
HmN_000323600	EmuJ_000988600
HmN_000323800	EmuJ_000912400
HmN_000323900	EmuJ_000912500
HmN_000324000	EmuJ_000912600
HmN_000324100	EmuJ_000912700
HmN_000324200	EmuJ_000912800
HmN_000324300	EmuJ_000912900
HmN_000324400	EmuJ_000913100
HmN_000324500	EmuJ_000912300
HmN_000324600	EmuJ_000912100
HmN_000324600	EmuJ_000912200
HmN_000324700	EmuJ_000911900
HmN_000325000	EmuJ_000346500
HmN_000325100	EmuJ_000346700
HmN_000325200	EmuJ_000346900
HmN_000325300	EmuJ_000347000
HmN_000325500	EmuJ_000347100
HmN_000325700	EmuJ_000347300
HmN_000325800	EmuJ_000347200
HmN_000325900	EmuJ_000347400
HmN_000326000	EmuJ_000347500
HmN_000326400	EmuJ_000348000
HmN_000326600	EmuJ_000348200
HmN_000326900	EmuJ_000348100
HmN_000327100	EmuJ_000348700
HmN_000327100	EmuJ_000348300
HmN_000327100	EmuJ_000348600
HmN_000327200	EmuJ_000349300
HmN_000327300	EmuJ_000349500
HmN_000327400	EmuJ_000349500
HmN_000327500	EmuJ_000356600
HmN_000327800	EmuJ_000350400
HmN_000328000	EmuJ_000349900
HmN_000328100	EmuJ_000349700
HmN_000328100	EmuJ_000349800
HmN_000328200	EmuJ_000351700
HmN_000328300	EmuJ_000351800
HmN_000328800	EmuJ_000352500
HmN_000329000	EmuJ_000352700
HmN_000329100	EmuJ_000353300
HmN_000329200	EmuJ_000353400
HmN_000329300	EmuJ_000353600
HmN_000329400	EmuJ_000353700
HmN_000329600	EmuJ_000354100
HmN_000329800	EmuJ_000354400
HmN_000329900	EmuJ_000355700
HmN_000330000	EmuJ_002181600
HmN_000330000	EmuJ_000355100
HmN_000330000	EmuJ_000355300
HmN_000330000	EmuJ_000355400
HmN_000330000	EmuJ_000354700
HmN_000330000	EmuJ_000355000
HmN_000330000	EmuJ_000355500
HmN_000330000	EmuJ_000354850
HmN_000330000	EmuJ_000354900
HmN_000330000	EmuJ_000355200
HmN_000330100	EmuJ_000355600
HmN_000330100	EmuJ_000354800
HmN_000330200	EmuJ_002181600
HmN_000330200	EmuJ_000355100
HmN_000330200	EmuJ_000355300
HmN_000330200	EmuJ_000355400
HmN_000330200	EmuJ_000354700
HmN_000330200	EmuJ_000355000
HmN_000330200	EmuJ_000355500
HmN_000330200	EmuJ_000354850
HmN_000330200	EmuJ_000354900
HmN_000330200	EmuJ_000355200
HmN_000330300	EmuJ_000925700
HmN_000330500	EmuJ_000025300
HmN_000330500	EmuJ_000925600
HmN_000330600	EmuJ_000925400
HmN_000330600	EmuJ_000025400
HmN_000330800	EmuJ_000925000
HmN_000330900	EmuJ_000924900
HmN_000331000	EmuJ_000924800
HmN_000331100	EmuJ_000924700
HmN_000331300	EmuJ_000924600
HmN_000331400	EmuJ_000924500
HmN_000331500	EmuJ_000924400
HmN_000331600	EmuJ_000924100
HmN_000331700	EmuJ_000924000
HmN_000331800	EmuJ_000025600
HmN_000332000	EmuJ_000923600
HmN_000332100	EmuJ_001201200
HmN_000332100	CDKD1.14
HmN_000332200	EmuJ_000046200
HmN_000332300	EmuJ_000046500
HmN_000332400	EmuJ_000046600
HmN_000332500	EmuJ_000922100
HmN_000332500	EmuJ_000922060
HmN_000332600	EmuJ_000922200
HmN_000332800	EmuJ_000923200
HmN_000332800	EmuJ_000025800
HmN_000332900	EmuJ_000922900
HmN_000333200	EmuJ_000922800
HmN_000333200	EmuJ_000026000
HmN_000333300	EmuJ_000930300
HmN_000333400	EmuJ_000930200
HmN_000333700	EmuJ_000930000
HmN_000333900	EmuJ_000929500
HmN_000334000	EmuJ_000929400
HmN_000334100	EmuJ_000929300
HmN_000334200	EmuJ_000929000
HmN_000334300	EmuJ_000928900
HmN_000334400	EmuJ_000173400
HmN_000334600	EmuJ_000173300
HmN_000334700	EmuJ_000173200
HmN_000334800	EmuJ_000173000
HmN_000334900	EmuJ_000172900
HmN_000335000	EmuJ_000172600
HmN_000336400	EmuJ_000876600
HmN_000336500	EmuJ_000876500
HmN_000336900	EmuJ_000809200
HmN_000337100	EmuJ_000809300
HmN_000337200	EmuJ_000809400
HmN_000337300	EmuJ_000809600
HmN_000337400	EmuJ_000809700
HmN_000337500	EmuJ_000809800
HmN_000337600	EmuJ_000809900
HmN_000337800	EmuJ_000810100
HmN_000337900	EmuJ_000810200
HmN_000338100	EmuJ_000810300
HmN_000338200	EmuJ_000650120
HmN_000338200	EmuJ_000650100
HmN_000338300	EmuJ_000304300
HmN_000338500	EmuJ_000304100
HmN_000338600	EmuJ_000304000
HmN_000338800	EmuJ_000303900
HmN_000338900	EmuJ_000303800
HmN_000339000	EmuJ_000303700
HmN_000339100	EmuJ_000303600
HmN_000339400	EmuJ_000776500
HmN_000339500	EmuJ_000303500
HmN_000339600	EmuJ_000303400
HmN_000339700	EmuJ_000303300
HmN_000339900	EmuJ_000303100
HmN_000340000	EmuJ_000303000
HmN_000340300	EmuJ_000302900
HmN_000340400	EmuJ_000302400
HmN_000340500	EmuJ_000302300
HmN_000340600	EmuJ_000302100
HmN_000340700	EmuJ_000302000
HmN_000340800	EmuJ_000301800
HmN_000340900	EmuJ_000301500
HmN_000341000	EmuJ_000301400
HmN_000341100	EmuJ_000301200
HmN_000341200	EmuJ_000301100
HmN_000341300	EmuJ_000300800
HmN_000341500	EmuJ_000314100
HmN_000341600	EmuJ_000314200
HmN_000341700	EmuJ_000314300
HmN_000341800	EmuJ_000314400
HmN_000342500	EmuJ_001042000
HmN_000342800	EmuJ_001041800
HmN_000343100	EmuJ_000576400
HmN_000343200	EmuJ_001041600
HmN_000343300	EmuJ_001041500
HmN_000343400	EmuJ_001041400
HmN_000343500	EmuJ_001041300
HmN_000343800	EmuJ_001041200
HmN_000343900	EmuJ_001041150
HmN_000344000	EmuJ_001041100
HmN_000344200	EmuJ_001040700
HmN_000344400	EmuJ_001040400
HmN_000344500	EmuJ_001040300
HmN_000344600	EmuJ_001040200
HmN_000344700	EmuJ_001040000
HmN_000344800	EmuJ_001039900
HmN_000345000	EmuJ_001039400
HmN_000345100	EmuJ_001039500
HmN_000345200	EmuJ_001039600
HmN_000345500	EmuJ_001039200
HmN_000345500	EmuJ_001038600
HmN_000345600	EmuJ_001038700
HmN_000345700	EmuJ_001038800
HmN_000345900	EmuJ_001039000
HmN_000346300	EmuJ_001037100
HmN_000346300	EmuJ_001037400
HmN_000346300	EmuJ_001037700
HmN_000346400	EmuJ_001037200
HmN_000346400	EmuJ_001037500
HmN_000346400	EmuJ_001037800
HmN_000346500	EmuJ_001037900
HmN_000346600	EmuJ_001038000
HmN_000346700	EmuJ_001038100
HmN_000347100	EmuJ_001036900
HmN_000347200	EmuJ_001036800
HmN_000347300	EmuJ_001036700
HmN_000347600	EmuJ_000639000
HmN_000347800	EmuJ_000638800
HmN_000347900	EmuJ_000638700
HmN_000348000	EmuJ_000638600
HmN_000348400	EmuJ_000638300
HmN_000348500	EmuJ_000638200
HmN_000348800	EmuJ_000638000
HmN_000348900	EmuJ_000637900
HmN_000349000	EmuJ_000637800
HmN_000349100	EmuJ_000637700
HmN_000349200	EmuJ_000637300
HmN_000349500	EmuJ_000168200
HmN_000349500	EmuJ_000168100
HmN_000350200	EmuJ_000168200
HmN_000350200	EmuJ_000168100
HmN_000350400	EmuJ_000639400
HmN_000350500	EmuJ_000639600
HmN_000350600	EmuJ_000639700
HmN_000352700	EmuJ_000168200
HmN_000352700	EmuJ_000168100
HmN_000353000	EmuJ_000471400
HmN_000353200	EmuJ_000471300
HmN_000353300	EmuJ_000471100
HmN_000353400	EmuJ_000471000
HmN_000353500	EmuJ_000470900
HmN_000353600	EmuJ_000470800
HmN_000353700	EmuJ_000470500
HmN_000353800	EmuJ_000470400
HmN_000353900	EmuJ_000470300
HmN_000354000	EmuJ_000470200
HmN_000354100	EmuJ_000470100
HmN_000354300	EmuJ_000980500
HmN_000354400	EmuJ_000980300
HmN_000354500	EmuJ_000980200
HmN_000354700	EmuJ_000980000
HmN_000355200	EmuJ_000979900
HmN_000355300	EmuJ_000979800
HmN_000355400	EmuJ_000979500
HmN_000355500	EmuJ_000979400
HmN_000355700	EmuJ_001016900
HmN_000355800	EmuJ_001016800
HmN_000355900	EmuJ_001016700
HmN_000356000	EmuJ_001016600
HmN_000356100	EmuJ_001016300
HmN_000356200	EmuJ_001016200
HmN_000356300	EmuJ_001016100
HmN_000356400	EmuJ_001016000
HmN_000356600	EmuJ_001015900
HmN_000356700	EmuJ_001015800
HmN_000356800	EmuJ_001015600
HmN_000356900	EmuJ_001015500
HmN_000357100	EmuJ_001015300
HmN_000357200	EmuJ_001015100
HmN_000357300	EmuJ_001015050
HmN_000357400	EmuJ_001014800
HmN_000357500	EmuJ_001014600
HmN_000357600	EmuJ_001014550
HmN_000358000	EmuJ_001014400
HmN_000358100	EmuJ_001014300
HmN_000358300	EmuJ_001014100
HmN_000358400	EmuJ_001014000
HmN_000358500	EmuJ_001013900
HmN_000358600	EmuJ_001013800
HmN_000358700	EmuJ_001024850
HmN_000359200	EmuJ_001023200
HmN_000359300	EmuJ_001023100
HmN_000359400	EmuJ_001023000
HmN_000359500	EmuJ_001022900
HmN_000359600	EmuJ_001022700
HmN_000359700	EmuJ_001022500
HmN_000359800	EmuJ_001022400
HmN_000360000	EmuJ_001022300
HmN_000360200	EmuJ_000184800
HmN_000360300	EmuJ_000184900
HmN_000362200	EmuJ_000551000
HmN_000362500	EmuJ_000551300
HmN_000362600	EmuJ_000551500
HmN_000362700	EmuJ_000551600
HmN_000362800	EmuJ_000551700
HmN_000362900	EmuJ_000551900
HmN_000363000	EmuJ_000552000
HmN_000363100	EmuJ_000552400
HmN_000363200	EmuJ_000699600
HmN_000363300	EmuJ_000552500
HmN_000364600	EmuJ_000540400
HmN_000364700	EmuJ_000540300
HmN_000364800	EmuJ_000540200
HmN_000364900	EmuJ_000540100
HmN_000365000	EmuJ_000540000
HmN_000365100	EmuJ_000539900
HmN_000365300	EmuJ_000539000
HmN_000365400	EmuJ_000539100
HmN_000365500	EmuJ_000539200
HmN_000365600	EmuJ_000539400
HmN_000365700	EmuJ_000539600
HmN_000366300	EmuJ_000529100
HmN_000366500	EmuJ_000538500
HmN_000366500	EmuJ_000538000
HmN_000366500	EmuJ_000538900
HmN_000366500	EmuJ_000537600
HmN_000366500	EmuJ_000538300
HmN_000366500	EmuJ_000538600
HmN_000366500	EmuJ_000538700
HmN_000366500	EmuJ_002163100
HmN_000366500	EmuJ_000005400
HmN_000366700	EmuJ_000662000
HmN_000366800	EmuJ_000662200
HmN_000367000	EmuJ_000662500
HmN_000367200	EmuJ_000662800
HmN_000367300	EmuJ_000662900
HmN_000367400	EmuJ_000663500
HmN_000367500	EmuJ_000668500
HmN_000367600	EmuJ_000668600
HmN_000367800	EmuJ_000668400
HmN_000367900	EmuJ_000522600
HmN_000368100	EmuJ_000522900
HmN_000368200	EmuJ_000553200
HmN_000368300	EmuJ_000375600
HmN_000368400	EmuJ_000375700
HmN_000368500	EmuJ_000375800
HmN_000368600	EmuJ_000375900
HmN_000368700	EmuJ_000376100
HmN_000368800	EmuJ_000976050
HmN_000368900	EmuJ_000976200
HmN_000369000	EmuJ_000976400
HmN_000369100	EmuJ_000976500
HmN_000369200	EmuJ_000976600
HmN_000369300	EmuJ_000976600
HmN_000369400	EmuJ_000976700
HmN_000369500	EmuJ_000976800
HmN_000369600	EmuJ_000976900
HmN_000369700	EmuJ_000977000
HmN_000369800	EmuJ_000977100
HmN_000370400	EmuJ_000656500
HmN_000370500	EmuJ_000656400
HmN_000370600	EmuJ_000656300
HmN_000370800	EmuJ_000656200
HmN_000370900	EmuJ_000656100
HmN_000371000	EmuJ_000656000
HmN_000371200	EmuJ_000211600
HmN_000371300	EmuJ_000211700
HmN_000371400	EmuJ_000211800
HmN_000371500	EmuJ_000211900
HmN_000371900	EmuJ_000212300
HmN_000372000	EmuJ_000212600
HmN_000372400	EmuJ_000212900
HmN_000372500	EmuJ_000213000
HmN_000372600	EmuJ_000213100
HmN_000372700	EmuJ_000256400
HmN_000373100	EmuJ_000255800
HmN_000373300	EmuJ_000255400
HmN_000373400	EmuJ_000255300
HmN_000373500	EmuJ_000255200
HmN_000374000	EmuJ_000254700
HmN_000374100	EmuJ_000254600
HmN_000374200	EmuJ_000254400
HmN_000374300	EmuJ_000254300
HmN_000374400	EmuJ_000254200
HmN_000374500	EmuJ_000254000
HmN_000374600	EmuJ_000253800
HmN_000374700	EmuJ_000253700
HmN_000375000	EmuJ_000253500
HmN_000375100	EmuJ_000253400
HmN_000375200	EmuJ_000253300
HmN_000375300	EmuJ_000253200
HmN_000375600	EmuJ_000253150
HmN_000375700	EmuJ_000253000
HmN_000375800	EmuJ_000252900
HmN_000375900	EmuJ_000252800
HmN_000376000	EmuJ_002136500
HmN_000376100	EmuJ_000252700
HmN_000376200	EmuJ_000252600
HmN_000376300	EmuJ_000252500
HmN_000376500	EmuJ_001047400
HmN_000376600	EmuJ_001047300
HmN_000376700	EmuJ_001047200
HmN_000376800	EmuJ_001047100
HmN_000377000	EmuJ_001046800
HmN_000377200	EmuJ_001046600
HmN_000377300	EmuJ_001046500
HmN_000377400	EmuJ_001046200
HmN_000377500	EmuJ_001046100
HmN_000377600	EmuJ_001046000
HmN_000378200	EmuJ_001069700
HmN_000378300	EmuJ_001058900
HmN_000378640	EmuJ_001059300
HmN_000378700	EmuJ_001059400
HmN_000378800	EmuJ_001059500
HmN_000378900	EmuJ_001059600
HmN_000379000	EmuJ_001059700
HmN_000379200	EmuJ_001059900
HmN_000379300	EmuJ_001059800
HmN_000379400	EmuJ_001060100
HmN_000379500	EmuJ_001060200
HmN_000379600	EmuJ_001060400
HmN_000379900	EmuJ_001060600
HmN_000380000	EmuJ_001060900
HmN_000380100	EmuJ_000724600
HmN_000380200	EmuJ_000646000
HmN_000380300	EmuJ_000645900
HmN_000380500	EmuJ_000645700
HmN_000380600	EmuJ_000645600
HmN_000380800	EmuJ_000645400
HmN_000380900	EmuJ_000645300
HmN_000381000	EmuJ_000645200
HmN_000381100	EmuJ_000642400
HmN_000381200	EmuJ_000594100
HmN_000381300	EmuJ_000594000
HmN_000381400	EmuJ_000593900
HmN_000381500	EmuJ_000593800
HmN_000381600	EmuJ_000593500
HmN_000381700	EmuJ_000593300
HmN_000382000	EmuJ_000593000
HmN_000382100	EmuJ_000592900
HmN_000382200	EmuJ_000592600
HmN_000382300	EmuJ_000592700
HmN_000382400	EmuJ_000056650
HmN_000382500	EmuJ_000056500
HmN_000382600	EmuJ_000956200
HmN_000382700	EmuJ_000956100
HmN_000382800	EmuJ_000956000
HmN_000383000	EmuJ_000955900
HmN_000383100	EmuJ_000955800
HmN_000383200	EmuJ_000955750
HmN_000383300	EmuJ_000955600
HmN_000383500	EmuJ_000955500
HmN_000383600	EmuJ_000955400
HmN_000383800	EmuJ_000955000
HmN_000383900	EmuJ_000954900
HmN_000384000	EmuJ_000954800
HmN_000384100	EmuJ_000954700
HmN_000384200	EmuJ_000954600
HmN_000384300	EmuJ_000954500
HmN_000384400	EmuJ_000954400
HmN_000384700	EmuJ_000998200
HmN_000384700	EmuJ_000997700
HmN_000384800	EmuJ_000997530
HmN_000384800	EmuJ_000997550
HmN_000384900	EmuJ_000997500
HmN_000385000	EmuJ_000997400
HmN_000385200	EmuJ_000997150
HmN_000385600	EmuJ_000996900
HmN_000385800	EmuJ_000996600
HmN_000385900	EmuJ_000995700
HmN_000386000	EmuJ_000995800
HmN_000386200	EmuJ_000996000
HmN_000386300	EmuJ_000996400
HmN_000386400	EmuJ_000996500
HmN_000386500	EmuJ_000996550
HmN_000386800	EmuJ_000892100
HmN_000386900	EmuJ_000892000
HmN_000387000	EmuJ_000891900
HmN_000387100	EmuJ_000891800
HmN_000387300	EmuJ_000891700
HmN_000387400	EmuJ_000891600
HmN_000387600	EmuJ_000891000
HmN_000387700	EmuJ_000890800
HmN_000388000	EmuJ_000890400
HmN_000388200	EmuJ_000889800
HmN_000388300	EmuJ_000889900
HmN_000388520	EmuJ_000890100
HmN_000388520	EmuJ_000011400
HmN_000388600	EmuJ_000890300
HmN_000388700	EmuJ_000889700
HmN_000388900	EmuJ_000889200
HmN_000389100	EmuJ_000889100
HmN_000389200	EmuJ_000889000
HmN_000389300	EmuJ_000888900
HmN_000389500	EmuJ_000888800
HmN_000389600	EmuJ_000888600
HmN_000389700	EmuJ_000888500
HmN_000389800	EmuJ_000888400
HmN_000389900	EmuJ_000888300
HmN_000390000	EmuJ_000888200
HmN_000390100	EmuJ_000888000
HmN_000390200	EmuJ_000887900
HmN_000390300	EmuJ_000887800
HmN_000390500	EmuJ_000887650
HmN_000390600	EmuJ_000887500
HmN_000390700	EmuJ_000887400
HmN_000390800	EmuJ_000887300
HmN_000390900	EmuJ_000887200
HmN_000391000	EmuJ_000887100
HmN_000391100	EmuJ_000887000
HmN_000391200	EmuJ_000886800
HmN_000391300	EmuJ_000886800
HmN_000391400	EmuJ_000886700
HmN_000391500	EmuJ_000886600
HmN_000391600	EmuJ_000886500
HmN_000391900	EmuJ_000464100
HmN_000392100	EmuJ_000463900
HmN_000392200	EmuJ_000463800
HmN_000392300	EmuJ_000463700
HmN_000392400	EmuJ_000463600
HmN_000392600	EmuJ_000463500
HmN_000392700	EmuJ_000463400
HmN_000392800	EmuJ_000463200
HmN_000392850	EmuJ_000463100
HmN_000392900	EmuJ_000463000
HmN_000393200	EmuJ_000462700
HmN_000393300	EmuJ_000462600
HmN_000393400	EmuJ_000462500
HmN_000393600	EmuJ_000462300
HmN_000393700	EmuJ_000462200
HmN_000393800	EmuJ_000462100
HmN_000393900	EmuJ_000461900
HmN_000394100	EmuJ_000509900
HmN_000394200	EmuJ_000509800
HmN_000394300	EmuJ_000509600
HmN_000394500	EmuJ_000509500
HmN_000394700	EmuJ_000475300
HmN_000395100	EmuJ_000494800
HmN_000395300	EmuJ_000457900
HmN_000395400	EmuJ_000458000
HmN_000395500	EmuJ_000458100
HmN_000395600	EmuJ_000458200
HmN_000395700	EmuJ_000458400
HmN_000395800	EmuJ_000458500
HmN_000395900	EmuJ_000458600
HmN_000396000	EmuJ_000458700
HmN_000396100	EmuJ_000458800
HmN_000396300	EmuJ_000743500
HmN_000396300	EmuJ_000743600
HmN_000396800	EmuJ_001045100
HmN_000396900	EmuJ_001045000
HmN_000397100	EmuJ_001044900
HmN_000397200	EmuJ_001044600
HmN_000397300	EmuJ_001044300
HmN_000398100	EmuJ_000823400
HmN_000398200	EmuJ_000823500
HmN_000398300	EmuJ_000823600
HmN_000398400	EmuJ_000823700
HmN_000398500	EmuJ_000823800
HmN_000399200	EmuJ_000824200
HmN_000399300	EmuJ_000824300
HmN_000399400	EmuJ_000824400
HmN_000399500	EmuJ_000824500
HmN_000400300	EmuJ_000824700
HmN_000400400	EmuJ_000824800
HmN_000400500	EmuJ_000825000
HmN_000400500	EmuJ_000824900
HmN_000400600	EmuJ_000825200
HmN_000400700	EmuJ_000825400
HmN_000400800	EmuJ_000825500
HmN_000400900	EmuJ_000825800
HmN_000401100	EmuJ_000826200
HmN_000401200	EmuJ_000826400
HmN_000401300	EmuJ_000826600
HmN_000401600	EmuJ_000821900
HmN_000401700	EmuJ_000821800
HmN_000401800	EmuJ_000767500
HmN_000401900	EmuJ_000767500
HmN_000402020	EmuJ_000767800
HmN_000402040	EmuJ_000767700
HmN_000402200	EmuJ_000767400
HmN_000402400	EmuJ_000768000
HmN_000403000	EmuJ_000120300
HmN_000403100	EmuJ_000120200
HmN_000403200	EmuJ_000120100
HmN_000403300	EmuJ_000120000
HmN_000403600	EmuJ_000120800
HmN_000403800	EmuJ_000120900
HmN_000403900	EmuJ_000121000
HmN_000404000	EmuJ_000121200
HmN_000404100	EmuJ_000121300
HmN_000404200	EmuJ_000121400
HmN_000404300	EmuJ_000121500
HmN_000404500	EmuJ_000121600
HmN_000404600	EmuJ_000121700
HmN_000404700	EmuJ_000121900
HmN_000404800	EmuJ_000122000
HmN_000404900	EmuJ_000122100
HmN_000405000	EmuJ_000122200
HmN_000405100	EmuJ_000122300
HmN_000405200	EmuJ_000122500
HmN_000405500	EmuJ_000123200
HmN_000405600	EmuJ_000123300
HmN_000405700	EmuJ_000123400
HmN_000405800	EmuJ_000123500
HmN_000405900	EmuJ_000123600
HmN_000406200	EmuJ_000123800
HmN_000406300	EmuJ_000123900
HmN_000406500	EmuJ_000124200
HmN_000406600	EmuJ_000124100
HmN_000406700	EmuJ_000124000
HmN_000406900	EmuJ_000864800
HmN_000407000	EmuJ_000864900
HmN_000407100	EmuJ_000865100
HmN_000407200	EmuJ_000865200
HmN_000407300	EmuJ_000865300
HmN_000407500	EmuJ_000865400
HmN_000407600	EmuJ_000865500
HmN_000407700	EmuJ_000865600
HmN_000407800	EmuJ_000865700
HmN_000407900	EmuJ_000865800
HmN_000408200	EmuJ_000866200
HmN_000408300	EmuJ_000866400
HmN_000408400	EmuJ_000866500
HmN_000408500	EmuJ_000866600
HmN_000408600	EmuJ_000866700
HmN_000408700	EmuJ_000866800
HmN_000408800	EmuJ_000867000
HmN_000409000	EmuJ_000867300
HmN_000409100	EmuJ_000867400
HmN_000409200	EmuJ_000867500
HmN_000409300	EmuJ_000867700
HmN_000409400	EmuJ_000867800
HmN_000409500	EmuJ_000867900
HmN_000409600	EmuJ_000868000
HmN_000409700	EmuJ_000868200
HmN_000409800	EmuJ_000868300
HmN_000409900	EmuJ_001154800
HmN_000410200	EmuJ_000868600
HmN_000410300	EmuJ_000868800
HmN_000410400	EmuJ_000868900
HmN_000410500	EmuJ_000869000
HmN_000410600	EmuJ_000869100
HmN_000410700	EmuJ_000869200
HmN_000412500	EmuJ_000061700
HmN_000412600	EmuJ_000061600
HmN_000412700	EmuJ_000678400
HmN_000412800	EmuJ_000678300
HmN_000412900	EmuJ_000678000
HmN_000413000	EmuJ_000677910
HmN_000413100	EmuJ_000677850
HmN_000413200	EmuJ_000677800
HmN_000413300	EmuJ_000149800
HmN_000413400	EmuJ_000677600
HmN_000413600	EmuJ_000418800
HmN_000414400	EmuJ_000517000
HmN_000414600	EmuJ_000821600
HmN_000414800	EmuJ_000516400
HmN_000415000	EmuJ_000517600
HmN_000415100	EmuJ_000517550
HmN_000415200	EmuJ_000524900
HmN_000415300	EmuJ_000524800
HmN_000415400	EmuJ_000697000
HmN_000415500	EmuJ_000059600
HmN_000415700	EmuJ_000059800
HmN_000415800	EmuJ_000060000
HmN_000415900	EmuJ_000060100
HmN_000416000	EmuJ_000060200
HmN_000416600	EmuJ_000697800
HmN_000416700	EmuJ_000697600
HmN_000416800	EmuJ_000697500
HmN_000417300	EmuJ_000062400
HmN_000417500	EmuJ_000062300
HmN_000417700	EmuJ_000062100
HmN_000417800	EmuJ_000062000
HmN_000417900	EmuJ_000696700
HmN_000418000	EmuJ_000696800
HmN_000418100	EmuJ_000696900
HmN_000419200	EmuJ_001061000
HmN_000419400	EmuJ_001061200
